title                    	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	Lsym	Laa	Gravy	Aromo	
YFL027C                  	0.3597	0.2168	0.4294	0.3065	0.121	0.037	0.425	54.82	0.383	0.376	480	497	-0.212475	0.098592	
YFL028C                  	0.4435	0.2261	0.3791	0.2165	0.174	0.077	0.449	46.56	0.341	0.396	276	289	-0.255017	0.076125	
YFL029C                  	0.3564	0.3010	0.3543	0.3167	0.135	0.051	0.451	56.06	0.449	0.416	350	368	-0.299457	0.092391	
YFL030W                  	0.3665	0.2857	0.2696	0.3111	0.121	0.098	0.456	55.58	0.472	0.468	373	385	0.053506	0.088312	
YFL031CA                	0.4400	0.0800	0.5000	0.1923	0.061	-0.105	0.290	61.00	0.226	0.394	 31	 33	-0.230303	0.060606	
YFL031W                  	0.3316	0.2746	0.2907	0.3855	0.102	0.057	0.420	59.89	0.506	0.472	231	238	-0.769328	0.063025	
YFL032W                  	0.3077	0.3516	0.4167	0.1791	0.109	0.074	0.451	48.47	0.431	0.390	102	106	-0.130189	0.160377	
YFL033C                  	0.4146	0.2403	0.3794	0.2279	0.129	0.035	0.424	54.17	0.362	0.409	1724	1770	-0.591525	0.067232	
YFL034CA                	0.3830	0.3404	0.4022	0.1765	0.291	0.328	0.617	49.50	0.392	0.391	120	122	-0.536066	0.098361	
YFL034CB                	0.3049	0.2735	0.4428	0.3135	0.106	0.017	0.424	51.27	0.431	0.408	276	287	-0.491986	0.128920	
YFL034W                  	0.4212	0.2106	0.4177	0.2282	0.157	0.108	0.468	49.98	0.335	0.410	1030	1073	-0.542404	0.057782	
YFL036W                  	0.4242	0.1884	0.4329	0.2332	0.169	0.123	0.475	46.65	0.320	0.380	1304	1351	-0.422354	0.078460	
YFL037W                  	0.4325	0.3085	0.3015	0.2303	0.271	0.359	0.620	44.83	0.416	0.444	437	457	-0.373304	0.096280	
YFL038C                  	0.3000	0.3750	0.2500	0.3942	0.185	0.271	0.578	51.36	0.573	0.458	199	206	-0.412621	0.092233	
YFL039C                  	0.4527	0.3716	0.2782	0.1260	0.711	0.734	0.842	29.57	0.400	0.439	355	375	-0.175733	0.085333	
YFL040W                  	0.3867	0.2265	0.3881	0.2440	0.103	-0.015	0.403	55.44	0.358	0.383	506	540	0.469815	0.118519	
YFL041W                  	0.4536	0.2288	0.3248	0.2806	0.145	0.103	0.471	52.35	0.380	0.423	595	622	-0.270900	0.109325	
YFL041WA                	0.3878	0.2857	0.3095	0.3421	0.173	0.123	0.475	*****	0.458	0.392	 59	 63	-0.357143	0.126984	
YFL042C                  	0.4027	0.2601	0.3541	0.2860	0.130	0.043	0.441	56.68	0.409	0.423	651	674	-0.613205	0.083086	
YFL044C                  	0.3559	0.3559	0.3165	0.2821	0.180	0.217	0.548	53.31	0.476	0.436	292	301	-0.332558	0.073090	
YFL045C                  	0.4091	0.3535	0.3763	0.1628	0.540	0.585	0.755	35.60	0.394	0.391	249	254	-0.385827	0.122047	
YFL046W                  	0.4221	0.2013	0.4423	0.2465	0.126	-0.016	0.405	48.36	0.330	0.378	200	207	-0.491787	0.062802	
YFL047W                  	0.4094	0.2246	0.3770	0.3355	0.138	0.051	0.446	52.93	0.400	0.387	693	714	-0.435574	0.098039	
YFL048C                  	0.4392	0.2255	0.4061	0.2277	0.177	0.130	0.489	48.78	0.340	0.384	427	445	-0.409663	0.087640	
YFL049W                  	0.4249	0.2262	0.4268	0.2331	0.143	0.071	0.460	50.56	0.340	0.380	609	623	-0.552648	0.077047	
YFL050C                  	0.4317	0.1856	0.4277	0.2220	0.122	0.004	0.402	51.22	0.314	0.398	829	858	-0.600583	0.085082	
YFL051C                  	0.4552	0.2612	0.3423	0.1792	0.114	-0.005	0.405	61.00	0.353	0.421	153	160	-0.445000	0.137500	
YFL052W                  	0.4339	0.2063	0.3565	0.2932	0.096	-0.020	0.391	56.11	0.373	0.418	450	465	-0.140645	0.103226	
YFL053W                  	0.5185	0.2099	0.2605	0.2207	0.153	0.166	0.486	47.60	0.347	0.464	576	591	-0.082572	0.064298	
YFL054C                  	0.4594	0.2023	0.3579	0.2031	0.116	0.068	0.431	53.15	0.323	0.435	617	646	-0.411146	0.091331	
YFL055W                  	0.4411	0.2215	0.3270	0.2043	0.122	0.088	0.446	52.12	0.343	0.427	540	558	0.472939	0.132616	
YFL056C                  	0.4793	0.2189	0.3165	0.2113	0.126	0.103	0.455	54.78	0.338	0.425	198	212	-0.072641	0.094340	
YFL057C                  	0.5391	0.2000	0.2927	0.2273	0.169	0.172	0.507	50.30	0.329	0.428	146	152	-0.175000	0.072368	
YFL058W                  	0.3477	0.4141	0.2880	0.2620	0.547	0.617	0.774	34.31	0.508	0.444	327	340	-0.316471	0.108824	
YFL059W                  	0.3805	0.2876	0.3375	0.2385	0.201	0.289	0.574	52.30	0.412	0.470	284	298	-0.011745	0.043624	
YFL060C                  	0.3807	0.2386	0.4534	0.2414	0.143	0.080	0.465	55.47	0.355	0.399	217	222	-0.129279	0.094595	
YFL061W                  	0.4197	0.2228	0.3193	0.2763	0.124	0.048	0.434	55.65	0.388	0.441	219	225	-0.149778	0.093333	
YFL062W                  	0.4420	0.2500	0.3750	0.2459	0.127	0.067	0.443	57.14	0.369	0.383	350	379	-0.030871	0.168865	
YFL063W                  	0.3741	0.3453	0.4082	0.1013	0.107	-0.108	0.378	53.72	0.378	0.380	148	151	0.126490	0.132450	
YFL064C                  	0.3456	0.3162	0.3750	0.3125	0.129	0.052	0.447	61.00	0.459	0.402	170	174	-0.481609	0.137931	
YFL065C                  	0.3780	0.2561	0.3562	0.2985	0.104	-0.048	0.367	52.62	0.418	0.425	 98	102	-0.292157	0.088235	
YFL066C                  	0.3463	0.2686	0.3146	0.3394	0.091	-0.006	0.396	60.61	0.467	0.459	379	392	-0.074235	0.086735	
YFL067W                  	0.6725	0.2749	0.0559	0.0143	0.141	0.235	0.520	28.41	0.283	0.499	173	175	0.359428	0.011429	
YFL068W                  	0.3382	0.3750	0.3043	0.2264	0.085	0.062	0.429	53.73	0.481	0.458	156	160	0.306250	0.137500	
YFR001W                  	0.4776	0.1343	0.4375	0.2606	0.182	0.197	0.520	51.09	0.302	0.371	202	204	-1.272549	0.029412	
YFR002W                  	0.4127	0.2291	0.4205	0.2450	0.155	0.090	0.462	50.34	0.349	0.361	816	839	-0.364958	0.085816	
YFR003C                  	0.4340	0.2170	0.4561	0.2545	0.121	0.020	0.423	49.76	0.342	0.422	149	155	-1.620000	0.045161	
YFR004W                  	0.4400	0.2311	0.3509	0.2605	0.204	0.230	0.547	47.78	0.376	0.412	287	306	-0.383007	0.062092	
YFR005C                  	0.4322	0.2119	0.4231	0.2772	0.121	-0.053	0.390	55.05	0.351	0.367	439	448	-0.364286	0.109375	
YFR006W                  	0.4535	0.2387	0.4064	0.2239	0.210	0.178	0.518	47.23	0.338	0.384	517	535	-0.423552	0.108411	
YFR007W                  	0.4276	0.2379	0.4071	0.2291	0.153	0.051	0.448	50.02	0.348	0.387	348	353	-0.313314	0.070822	
YFR008W                  	0.3533	0.2267	0.4611	0.3097	0.129	0.054	0.443	55.07	0.387	0.373	212	221	-0.751131	0.049774	
YFR009W                  	0.4220	0.2487	0.3858	0.2357	0.287	0.310	0.587	40.52	0.367	0.394	733	752	-0.459575	0.073138	
YFR009WA                	0.3385	0.2615	0.4340	0.3000	0.095	-0.115	0.351	51.92	0.416	0.357	 77	 85	-0.358824	0.094118	
YFR010W                  	0.4711	0.2314	0.4343	0.1965	0.208	0.169	0.515	45.86	0.313	0.370	485	499	-0.655110	0.092184	
YFR010WA                	0.5094	0.3396	0.2857	0.0789	0.120	0.016	0.417	38.55	0.350	0.376	 60	 62	0.724194	0.225806	
YFR011C                  	0.3898	0.2288	0.4135	0.3071	0.215	0.183	0.521	49.73	0.395	0.375	167	170	-0.724118	0.052941	
YFR012W                  	0.4511	0.1848	0.3377	0.2061	0.111	0.070	0.431	52.99	0.313	0.381	195	202	0.786634	0.118812	
YFR012WA                	0.3684	0.3684	0.3810	0.2381	0.179	0.147	0.481	*****	0.444	0.452	 27	 28	-1.407143	0.142857	
YFR013W                  	0.4315	0.2149	0.4338	0.2477	0.140	0.024	0.418	52.09	0.341	0.388	765	787	-0.829479	0.092757	
YFR014C                  	0.4164	0.2006	0.3736	0.3211	0.163	0.101	0.466	49.50	0.390	0.410	438	446	-0.570852	0.073991	
YFR015C                  	0.4069	0.2638	0.3313	0.2827	0.188	0.197	0.520	49.89	0.415	0.425	687	708	-0.348588	0.103107	
YFR016C                  	0.4450	0.2213	0.4781	0.2055	0.152	0.070	0.475	50.98	0.307	0.396	1220	1233	-1.139740	0.025142	
YFR017C                  	0.2778	0.4444	0.2609	0.2692	0.129	0.176	0.500	60.31	0.569	0.518	188	195	-1.018974	0.066667	
YFR018C                  	0.2351	0.3510	0.3083	0.3680	0.063	-0.090	0.328	55.77	0.564	0.522	351	363	-0.205510	0.101928	
YFR019W                  	0.4188	0.2465	0.3935	0.2295	0.142	0.051	0.443	53.34	0.360	0.387	2217	2278	-0.666462	0.079456	
YFR020W                  	0.5051	0.2245	0.3401	0.1778	0.161	0.097	0.470	56.72	0.313	0.409	217	232	-0.196552	0.125000	
YFR021W                  	0.3524	0.3071	0.3253	0.2553	0.132	0.067	0.450	53.86	0.442	0.432	482	500	-0.252600	0.076000	
YFR022W                  	0.4029	0.2295	0.3559	0.2270	0.113	0.046	0.415	52.54	0.367	0.421	720	733	-0.345839	0.064120	
YFR023W                  	0.4477	0.2008	0.5046	0.1816	0.145	0.017	0.432	48.88	0.279	0.327	599	611	-0.673650	0.114566	
YFR024CA                	0.4606	0.2069	0.3506	0.1774	0.204	0.231	0.521	45.88	0.315	0.443	451	459	-0.610458	0.093682	
YFR025C                  	0.3233	0.3496	0.3656	0.3088	0.139	0.079	0.471	58.17	0.480	0.426	325	335	-0.317910	0.104478	
YFR026C                  	0.3857	0.2571	0.3761	0.2778	0.093	-0.014	0.396	53.72	0.402	0.416	164	169	-0.393491	0.094675	
YFR027W                  	0.3348	0.2081	0.3981	0.3281	0.078	-0.087	0.361	55.16	0.405	0.419	269	281	-0.603203	0.071174	
YFR028C                  	0.4074	0.2723	0.3445	0.2592	0.130	0.047	0.433	55.55	0.403	0.423	538	551	-0.497096	0.096189	
YFR029W                  	0.2744	0.3538	0.4012	0.2573	0.119	0.101	0.474	57.22	0.468	0.444	664	678	-0.478319	0.073746	
YFR030W                  	0.4403	0.2649	0.3563	0.2017	0.258	0.266	0.566	41.82	0.360	0.397	1021	1035	-0.109469	0.102415	
YFR031C                  	0.4379	0.1834	0.4195	0.2835	0.151	0.073	0.461	50.02	0.342	0.366	1142	1170	-0.621709	0.054701	
YFR031CA                	0.4537	0.3426	0.2297	0.1623	0.773	0.770	0.857	29.15	0.418	0.475	251	254	-0.490945	0.051181	
YFR032C                  	0.3122	0.3249	0.3040	0.3190	0.168	0.246	0.554	51.62	0.502	0.486	287	289	-0.512111	0.062284	
YFR032CA                	0.4091	0.3864	0.2273	0.3023	0.682	0.688	0.810	30.02	0.517	0.458	 58	 59	-1.371186	0.050847	
YFR032CB                	0.3733	0.2800	0.4219	0.1961	0.099	-0.014	0.419	38.74	0.360	0.375	 86	 87	-0.029885	0.137931	
YFR033C                  	0.3846	0.3187	0.4216	0.3700	0.211	0.124	0.507	46.75	0.458	0.465	144	147	-1.378912	0.061224	
YFR034C                  	0.2353	0.3569	0.2531	0.3932	0.068	-0.022	0.377	57.86	0.600	0.543	305	312	-0.759615	0.035256	
YFR034WA                	0.2714	0.3429	0.4930	0.2154	0.091	-0.060	0.380	61.00	0.413	0.432	 92	 95	-0.956842	0.126316	
YFR035C                  	0.3627	0.3235	0.2564	0.2877	0.091	0.019	0.405	55.13	0.486	0.453	111	114	0.683333	0.140351	
YFR036W                  	0.1961	0.5588	0.2632	0.3571	0.134	0.092	0.484	47.97	0.672	0.487	122	124	-1.233065	0.048387	
YFR036WA                	0.3182	0.3687	0.2397	0.2500	0.116	0.090	0.449	59.75	0.522	0.454	205	216	0.201852	0.171296	
YFR037C                  	0.2727	0.3514	0.3246	0.3907	0.128	0.098	0.475	56.55	0.543	0.466	543	557	-0.666966	0.070018	
YFR038W                  	0.3896	0.2511	0.4194	0.2644	0.157	0.065	0.450	53.34	0.379	0.379	823	853	-0.470926	0.072685	
YFR039C                  	0.4409	0.2178	0.4129	0.2848	0.131	-0.033	0.404	57.48	0.357	0.381	490	510	-0.483333	0.107843	
YFR040W                  	0.4316	0.2660	0.4069	0.2479	0.157	0.021	0.441	53.66	0.367	0.365	975	1002	-0.686028	0.079840	
YFR041C                  	0.4725	0.2064	0.3981	0.2602	0.159	0.052	0.453	48.22	0.337	0.357	285	295	-0.635932	0.125424	
YFR042W                  	0.3373	0.2189	0.4266	0.2913	0.108	-0.013	0.385	53.15	0.385	0.358	192	200	0.560000	0.170000	
YFR043C                  	0.4181	0.2429	0.4578	0.2361	0.133	0.019	0.445	58.86	0.339	0.376	227	237	-0.429536	0.092827	
YFR044C                  	0.4724	0.2861	0.2617	0.2402	0.313	0.366	0.623	42.98	0.407	0.430	464	481	-0.201871	0.089397	
YFR045W                  	0.3695	0.2771	0.3632	0.2453	0.131	0.071	0.456	53.42	0.406	0.405	298	309	0.060842	0.106796	
YFR046C                  	0.3713	0.2206	0.4429	0.2677	0.108	-0.024	0.397	56.02	0.363	0.404	353	361	-0.824377	0.041551	
YFR047C                  	0.4280	0.2966	0.2593	0.2814	0.188	0.204	0.523	51.05	0.445	0.444	283	295	-0.136949	0.077966	
YFR048W                  	0.4360	0.1781	0.4220	0.2494	0.128	0.037	0.424	51.65	0.320	0.393	644	662	-0.686254	0.087613	
YFR049W                  	0.4184	0.2347	0.3368	0.2529	0.112	0.013	0.407	52.72	0.381	0.434	118	123	-0.185366	0.081301	
YFR050C                  	0.4480	0.2398	0.3627	0.1829	0.148	0.109	0.469	47.42	0.335	0.416	254	266	-0.219549	0.090226	
YFR051C                  	0.3753	0.3478	0.2998	0.2407	0.197	0.220	0.538	53.64	0.457	0.455	532	546	-0.410989	0.075092	
YFR052CA                	0.4430	0.1013	0.3750	0.3968	0.064	-0.165	0.305	49.53	0.347	0.347	 95	101	0.643564	0.089109	
YFR052W                  	0.3544	0.3592	0.3651	0.2970	0.180	0.137	0.502	49.61	0.464	0.373	265	274	-0.433212	0.109489	
YFR053C                  	0.4327	0.2982	0.3071	0.2328	0.461	0.534	0.722	36.07	0.408	0.425	468	485	-0.326186	0.076289	
YFR054C                  	0.5145	0.2486	0.2733	0.1212	0.149	0.086	0.455	54.52	0.312	0.401	189	192	0.169271	0.093750	
YFR055W                  	0.4353	0.1727	0.3817	0.2295	0.140	0.096	0.440	50.03	0.320	0.433	325	340	-0.067059	0.076471	
YFR056C                  	0.4206	0.1776	0.4598	0.1806	0.091	-0.030	0.393	58.72	0.274	0.355	117	122	0.504918	0.122951	
YFR057W                  	0.4031	0.2248	0.4950	0.1848	0.096	-0.161	0.318	56.47	0.311	0.347	148	151	-0.164238	0.172185	
YGL001C                  	0.5350	0.1783	0.3455	0.2091	0.204	0.153	0.504	47.11	0.290	0.397	335	349	-0.161891	0.091691	
YGL002W                  	0.3758	0.2727	0.4258	0.2308	0.157	0.160	0.505	55.59	0.379	0.383	206	216	-0.168982	0.129630	
YGL003C                  	0.4021	0.1916	0.4071	0.2281	0.113	0.038	0.414	51.36	0.333	0.422	546	566	-0.501237	0.072438	
YGL004C                  	0.4162	0.2457	0.4257	0.2038	0.125	0.015	0.430	55.68	0.340	0.392	409	417	-0.335492	0.088729	
YGL005C                  	0.3955	0.1636	0.4686	0.2723	0.117	-0.071	0.371	50.60	0.324	0.354	272	279	-0.498208	0.075269	
YGL006W                  	0.4237	0.2214	0.4083	0.2134	0.159	0.090	0.459	50.04	0.333	0.385	1134	1173	-0.154902	0.082694	
YGL006WA                	0.3226	0.3871	0.3750	0.1579	0.113	-0.127	0.324	46.47	0.441	0.407	 34	 36	0.122222	0.111111	
YGL007CA                	0.3462	0.2692	0.4500	0.1250	0.087	-0.125	0.333	*****	0.333	0.310	 27	 28	0.621429	0.107143	
YGL007W                  	0.4200	0.1800	0.3196	0.2778	0.059	-0.119	0.310	58.76	0.371	0.467	116	125	-0.004800	0.072000	
YGL008C                  	0.5200	0.2707	0.2574	0.1592	0.734	0.760	0.856	28.00	0.348	0.424	879	918	0.122876	0.081699	
YGL009C                  	0.4927	0.2472	0.3889	0.1299	0.336	0.364	0.623	39.82	0.294	0.404	756	779	-0.354814	0.074454	
YGL010W                  	0.4110	0.2192	0.3465	0.2783	0.123	0.095	0.440	50.37	0.381	0.381	168	174	0.523563	0.132184	
YGL011C                  	0.4428	0.2139	0.4105	0.2035	0.178	0.178	0.518	48.77	0.318	0.406	245	252	-0.251191	0.095238	
YGL012W                  	0.4016	0.2846	0.2838	0.3418	0.230	0.282	0.578	46.12	0.459	0.415	438	473	0.124947	0.205074	
YGL013C                  	0.3838	0.2844	0.4186	0.2316	0.142	0.035	0.438	54.06	0.385	0.380	1038	1068	-0.416760	0.103933	
YGL014CA                	0.2955	0.3409	0.2778	0.3333	0.178	0.198	0.500	27.45	0.521	0.453	 48	 53	-0.252830	0.094340	
YGL014W                  	0.4787	0.2036	0.3876	0.2104	0.152	0.065	0.444	48.39	0.313	0.390	860	888	-0.552140	0.064189	
YGL015C                  	0.3700	0.2900	0.5000	0.1667	0.141	0.004	0.408	51.08	0.344	0.374	125	130	-0.765385	0.076923	
YGL016W                  	0.4603	0.2173	0.3853	0.2355	0.180	0.142	0.503	48.19	0.334	0.357	1041	1081	-0.011656	0.101758	
YGL017W                  	0.4186	0.2610	0.3333	0.3165	0.124	0.035	0.434	59.53	0.420	0.420	479	503	-0.370775	0.121272	
YGL018C                  	0.3047	0.3281	0.4265	0.2846	0.206	0.231	0.540	50.69	0.449	0.422	176	184	-0.817391	0.092391	
YGL019W                  	0.3171	0.2927	0.3646	0.3913	0.126	0.060	0.446	54.12	0.494	0.460	267	278	-0.681655	0.122302	
YGL020C                  	0.3815	0.2775	0.3647	0.2885	0.161	0.048	0.443	56.29	0.421	0.394	221	235	-0.129362	0.127660	
YGL021W                  	0.4179	0.1940	0.4218	0.2424	0.142	0.061	0.436	49.12	0.332	0.367	736	760	-0.591447	0.067105	
YGL022W                  	0.3355	0.3669	0.2583	0.2599	0.214	0.280	0.569	47.66	0.504	0.453	675	718	0.323677	0.154596	
YGL023C                  	0.3202	0.3123	0.2634	0.4115	0.097	0.007	0.413	53.28	0.542	0.467	622	635	-0.959213	0.048819	
YGL024W                  	0.3529	0.3039	0.2472	0.2740	0.135	0.070	0.450	49.92	0.468	0.393	109	111	1.235135	0.081081	
YGL025C                  	0.2997	0.3062	0.3630	0.3069	0.105	0.081	0.446	53.46	0.475	0.469	377	397	-0.675315	0.035264	
YGL026C                  	0.4879	0.2561	0.3157	0.1712	0.320	0.401	0.638	40.35	0.342	0.433	691	707	-0.162235	0.079208	
YGL027C                  	0.4431	0.2340	0.4059	0.2391	0.150	0.063	0.450	50.61	0.347	0.393	795	833	-0.443217	0.130852	
YGL028C                  	0.5194	0.2522	0.2829	0.1211	0.280	0.354	0.624	43.60	0.312	0.415	535	542	-0.205535	0.060886	
YGL029W                  	0.3231	0.1538	0.4762	0.3173	0.217	0.281	0.561	46.60	0.377	0.397	114	120	-1.617500	0.033333	
YGL030W                  	0.4024	0.3780	0.1910	0.2683	0.865	0.887	0.932	25.11	0.515	0.422	103	105	0.020952	0.076190	
YGL031C                  	0.4340	0.3208	0.3185	0.2344	0.759	0.785	0.869	27.41	0.418	0.419	153	155	-1.052258	0.064516	
YGL032C                  	0.3699	0.2329	0.3913	0.2222	0.089	-0.049	0.388	56.33	0.365	0.406	 85	 87	0.195402	0.103448	
YGL033W                  	0.3962	0.1824	0.5460	0.2308	0.138	-0.034	0.416	51.97	0.290	0.338	214	218	-0.548165	0.055046	
YGL034C                  	0.4062	0.2396	0.3441	0.2386	0.078	-0.008	0.374	56.62	0.383	0.471	115	121	-0.330579	0.099174	
YGL035C                  	0.3837	0.2129	0.3975	0.2440	0.152	0.203	0.510	46.38	0.363	0.424	490	504	-0.838691	0.033730	
YGL036W                  	0.4280	0.2427	0.3841	0.2433	0.148	0.063	0.458	52.29	0.360	0.360	887	909	-0.337404	0.083608	
YGL037C                  	0.3824	0.3824	0.2789	0.2672	0.319	0.319	0.617	43.63	0.485	0.432	206	216	-0.513889	0.092593	
YGL038C                  	0.4079	0.2447	0.3929	0.2558	0.149	0.042	0.438	53.60	0.372	0.391	457	480	-0.519167	0.106250	
YGL039W                  	0.4674	0.3080	0.3543	0.1574	0.202	0.150	0.504	51.34	0.358	0.399	341	348	-0.179598	0.094828	
YGL040C                  	0.4626	0.2211	0.3267	0.2267	0.203	0.202	0.512	48.11	0.347	0.435	334	342	-0.085965	0.087719	
YGL041C                  	0.3854	0.2708	0.2933	0.2742	0.152	0.165	0.500	43.43	0.422	0.375	102	104	0.529807	0.125000	
YGL041CB                	0.5091	0.2000	0.2821	0.2424	0.097	-0.075	0.362	35.58	0.328	0.344	 58	 60	1.151667	0.183333	
YGL041WA                	0.3542	0.2500	0.4603	0.2586	0.205	0.169	0.507	36.66	0.370	0.370	 73	 82	-0.447561	0.048780	
YGL042C                  	0.4699	0.2651	0.2687	0.2407	0.139	0.143	0.500	44.92	0.380	0.383	 92	101	0.687129	0.198020	
YGL043W                  	0.3877	0.2907	0.4348	0.2279	0.187	0.112	0.488	48.25	0.380	0.402	303	309	-0.799029	0.055016	
YGL044C                  	0.3766	0.2121	0.3879	0.3400	0.097	-0.036	0.380	50.59	0.408	0.413	287	296	-0.522635	0.067568	
YGL045W                  	0.3357	0.2653	0.4005	0.2696	0.112	0.055	0.447	56.16	0.409	0.415	528	542	-0.534317	0.068266	
YGL047W                  	0.3478	0.2422	0.4052	0.2920	0.125	0.095	0.467	55.26	0.401	0.426	197	202	-0.025248	0.094059	
YGL048C                  	0.4332	0.2248	0.3976	0.1993	0.218	0.270	0.565	45.07	0.327	0.405	391	405	-0.262222	0.044444	
YGL049C                  	0.4345	0.2277	0.4520	0.2094	0.177	0.142	0.495	48.17	0.324	0.392	885	914	-1.081620	0.068928	
YGL050W                  	0.3798	0.2115	0.4319	0.2642	0.125	0.051	0.440	50.62	0.357	0.397	266	273	-0.454212	0.076923	
YGL051W                  	0.4145	0.2539	0.3333	0.2662	0.104	0.005	0.405	59.71	0.396	0.415	227	234	-0.213248	0.123932	
YGL052W                  	0.3846	0.2821	0.4648	0.1667	0.151	0.164	0.500	56.82	0.344	0.396	 96	101	-0.736634	0.089109	
YGL053W                  	0.4162	0.2757	0.3846	0.2400	0.128	0.028	0.437	61.00	0.380	0.401	229	237	-0.223207	0.130802	
YGL054C                  	0.3932	0.2991	0.3913	0.1829	0.311	0.340	0.598	43.34	0.379	0.353	132	138	0.687681	0.159420	
YGL055W                  	0.4691	0.3309	0.2817	0.1798	0.543	0.622	0.778	33.60	0.397	0.412	481	510	-0.292549	0.125490	
YGL056C                  	0.3387	0.2357	0.3888	0.2778	0.117	0.075	0.445	52.20	0.404	0.421	515	527	-0.444023	0.047438	
YGL057C                  	0.3877	0.2247	0.4306	0.2526	0.114	-0.021	0.394	56.63	0.357	0.376	277	287	-0.254704	0.108014	
YGL058W                  	0.4088	0.2336	0.4630	0.2255	0.225	0.139	0.491	45.85	0.342	0.417	161	172	-0.822093	0.087209	
YGL059W                  	0.4005	0.2251	0.4657	0.2317	0.148	0.053	0.446	51.73	0.335	0.356	475	491	-0.383707	0.116090	
YGL060W                  	0.4201	0.2446	0.4090	0.2198	0.148	0.072	0.459	54.72	0.347	0.372	619	641	-0.118097	0.085803	
YGL061C                  	0.3869	0.1910	0.4570	0.2367	0.127	0.033	0.425	47.59	0.325	0.377	240	247	-0.791903	0.040486	
YGL062W                  	0.4109	0.2642	0.3814	0.1880	0.261	0.306	0.582	43.15	0.357	0.434	1144	1178	-0.204669	0.073005	
YGL063CA                	0.1818	0.3182	0.3421	0.3333	0.044	-0.097	0.277	55.56	0.553	0.503	 47	 49	-0.238775	0.081633	
YGL063W                  	0.2748	0.3113	0.2982	0.3804	0.066	-0.052	0.351	57.93	0.537	0.510	356	370	-0.277297	0.091892	
YGL064C                  	0.3576	0.2574	0.4186	0.2242	0.129	0.071	0.449	53.04	0.371	0.394	544	561	-0.321212	0.064171	
YGL065C                  	0.4405	0.2278	0.4270	0.2156	0.170	0.087	0.471	51.16	0.326	0.361	488	503	-0.005368	0.137177	
YGL066W                  	0.4248	0.2459	0.4192	0.2344	0.132	0.055	0.443	54.46	0.357	0.419	644	657	-1.185693	0.042618	
YGL067W                  	0.4232	0.2508	0.3889	0.2282	0.152	0.060	0.453	52.13	0.360	0.386	375	384	-0.223958	0.114583	
YGL068W                  	0.4122	0.2230	0.3393	0.2387	0.204	0.290	0.574	54.88	0.372	0.430	188	194	-0.128866	0.030928	
YGL069C                  	0.3209	0.2612	0.4080	0.1786	0.108	0.090	0.450	58.07	0.369	0.442	149	154	0.762987	0.051948	
YGL070C                  	0.4141	0.2121	0.4268	0.2821	0.160	0.087	0.462	44.95	0.361	0.396	119	122	-0.663115	0.098361	
YGL071W                  	0.4004	0.2496	0.4321	0.2412	0.133	0.037	0.439	51.41	0.364	0.401	681	690	-0.889420	0.063768	
YGL072C                  	0.4495	0.3119	0.1818	0.2152	0.074	-0.034	0.371	49.82	0.440	0.459	116	119	0.789076	0.142857	
YGL073W                  	0.4179	0.2810	0.3911	0.2112	0.125	-0.016	0.403	54.64	0.374	0.396	813	833	-1.022569	0.062425	
YGL074C                  	0.3053	0.2000	0.4353	0.2532	0.063	-0.021	0.371	56.45	0.371	0.426	105	108	1.074074	0.101852	
YGL075C                  	0.3621	0.2458	0.4570	0.2481	0.114	0.009	0.421	56.81	0.363	0.385	380	387	-0.525581	0.100775	
YGL076C                  	0.3825	0.3716	0.2879	0.2542	0.760	0.825	0.896	28.19	0.471	0.425	240	244	-0.427869	0.090164	
YGL077C                  	0.4696	0.2369	0.3017	0.2107	0.205	0.262	0.559	48.28	0.353	0.411	533	563	0.424156	0.136767	
YGL078C                  	0.4802	0.1926	0.3819	0.2551	0.271	0.311	0.596	40.26	0.336	0.388	515	523	-0.596558	0.061185	
YGL079W                  	0.4884	0.2500	0.3544	0.2168	0.155	0.022	0.435	50.86	0.346	0.391	214	218	-0.742202	0.064220	
YGL080W                  	0.4330	0.2577	0.4583	0.1573	0.133	0.044	0.440	45.03	0.312	0.379	125	130	-0.320000	0.153846	
YGL081W                  	0.4240	0.2080	0.4481	0.2392	0.139	0.049	0.459	57.49	0.323	0.378	316	320	-0.535312	0.065625	
YGL082W                  	0.4034	0.2576	0.4380	0.2235	0.135	0.057	0.446	54.35	0.358	0.392	372	381	-0.703412	0.086614	
YGL083W                  	0.3809	0.2461	0.4248	0.2287	0.156	0.073	0.455	52.30	0.361	0.371	783	804	-0.250000	0.095771	
YGL084C                  	0.3874	0.2737	0.4000	0.1791	0.169	0.135	0.485	49.24	0.358	0.374	530	560	0.356250	0.162500	
YGL085W                  	0.4131	0.2019	0.4691	0.2090	0.131	0.059	0.436	51.86	0.309	0.384	259	274	-0.634307	0.135036	
YGL086W                  	0.4187	0.2065	0.5180	0.2581	0.142	-0.015	0.410	53.05	0.324	0.328	729	749	-0.977036	0.061415	
YGL087C                  	0.3832	0.2804	0.4400	0.1702	0.223	0.240	0.542	47.85	0.351	0.411	131	137	-0.740146	0.080292	
YGL088W                  	0.4505	0.2432	0.2821	0.2857	0.094	-0.095	0.336	54.87	0.395	0.372	119	121	0.599174	0.214876	
YGL089C                  	0.3958	0.3333	0.2841	0.2250	0.276	0.344	0.602	38.71	0.442	0.469	113	120	-0.020000	0.116667	
