ORF	Length	RPF	mRNA	TE	IP	FEatg	FEcap	cRPF	cTE	uATG	utr	gc	pE	Ai	S
YDR080W	992	16.56	25.9	0.639382239382239	0.000863691136894447	-1	NA	2.50912988268209	0.0968776016479571	NA	NA	NA	0.000941543425842432	1.74414662037248	0.0631611455429617
YDR081C	925	18.54	31.76	0.583753148614609	0.000723502073994653	-3.2	-12.7	2.42259881693952	0.0762783002814711	0	88	0.375	0.000680190612023619	2.1387682109278	0.0559526945526016
YDR082W	494	1.98	17.73	0.111675126903553	0.000131973864197409	-5.1	NA	0.263376778608473	0.0148548662497729	NA	NA	NA	0.000126304640292236	1.19396600691908	0.00580013257788737
YDR084C	199	86.05	75.43	1.14079278801538	0.00137828271696842	-2.3	-8	12.0100565154735	0.159221218553275	1	35	0.4	0.0013840493281273	5.07957450095352	0.270399295200665
YDR085C	620	3.86	10.95	0.352511415525114	0.000460278693978391	-3.3	NA	0.553845847965805	0.0505795294945941	NA	NA	NA	0.000475161838287716	0.737390173477941	0.0134761411678875
YDR086C	80	1319.06	896.33	1.47162317450046	0.00282880068846784	0	-11.6	144.354993303566	0.161051167877418	0	94	0.361702127659574	0.0022273511541331	60.3602679628751	5.17090432734205
YDR087C	278	135.34	99.67	1.35788100732417	0.00169119075347591	-4.2	-8.1	18.8433515164186	0.189057404599364	0	30	0.4	0.0016941179937848	6.71193411785812	0.437338783160058
YDR088C	382	22.49	22.68	0.991622574955908	0.00138899498215504	-1.2	NA	3.23069828290137	0.142447014237274	NA	NA	NA	0.00143557770295027	1.52730677027212	0.0843295209602939
YDR089W	869	32.14	53.18	0.604362542309139	0.000761161203583333	-1.8	NA	4.30266445838774	0.0809075678523457	NA	NA	NA	0.000733140705274809	3.58122460507369	0.100982366642739
YDR090C	310	23.43	31.75	0.737952755905512	0.000969540504841848	-0.3	-8	3.16784299175794	0.099774582417573	0	59	0.406779661016949	0.000943140510576205	2.13809479524426	0.0775586083402691
YDR091C	608	192.74	217.58	0.885835095137421	0.00164578237284851	0	-5.3	26.3221290994479	0.120976786007206	0	73	0.383561643835616	0.00161711404398173	14.6521784424959	0.911317059011022
YDR092W	153	251.75	142.18	1.77064284709523	0.00231025763199458	-0.4	NA	31.6819544053484	0.222829894537547	NA	NA	NA	0.00209180877804994	9.57462418859303	0.770318574008778
YDR093W	1612	29.44	85.61	0.343885060156524	0.000447550557489636	0	-6.9	4.71195814070936	0.0550398100772032	0	267	0.370786516853933	0.000515376726367331	5.76511166679877	0.114277091460648
YDR096W	894	12.07	22.19	0.54393871113114	0.000761251820783685	-0.6	-14.2	1.63242609142653	0.0735658445888478	0	9	0.555555555555556	0.000740753451962065	1.49430940177859	0.0425736479871868
YDR097C	1242	35.31	52.03	0.678646934460888	0.000934953204121974	-0.9	NA	4.95702495911996	0.0952724381918117	NA	NA	NA	0.000944348607961112	3.50378180146642	0.127261210262088
YDR098C	285	271.6	168.71	1.60986307865568	0.00223594948679659	-0.9	NA	38.5184511308881	0.228311606489764	NA	NA	NA	0.00228149814427938	11.3611959970286	0.996944137846734
YDR100W	143	156.13	113.57	1.37474685216166	0.00172364087466664	-0.6	-6.8	19.2427904572773	0.169435506359755	0	41	0.390243902439024	0.00152843705316394	7.6479819179808	0.44959457482191
YDR101C	593	106.19	127.81	0.830842657069087	0.00128020552622327	0	-5.7	15.0881302742859	0.118051250092214	0	28	0.392857142857143	0.00130873158579025	8.60692585134389	0.433236758392632
YDR103W	917	17.35	34.78	0.498849913743531	0.000592483074514906	0	NA	2.59766381769221	0.0746884363913805	NA	NA	NA	0.000638231884300445	2.34213974735733	0.0574933947788784
YDR104C	1245	3.87	13.08	0.295871559633028	0.000354854794407589	-4.1	-10	0.622182991860308	0.0475675070229594	0	50	0.42	0.000410465754455684	0.88082771407228	0.0139057543154675
YDR105C	473	29.81	51.92	0.574152542372881	0.000695031400857251	0	-6.1	4.09051891372092	0.0787850330069515	0	52	0.423076923076923	0.000686182972972236	3.49637422894746	0.0922750947324106
YDR107C	672	18.13	30.76	0.589401820546164	0.000743641068058138	-2.9	NA	2.56723365113056	0.0834601317012535	NA	NA	NA	0.000757617575086509	2.07142664257365	0.0603595857660091
YDR108W	698	12.35	25.95	0.475915221579961	0.000561796426912693	-1.8	-8.8	1.80718867495986	0.069641182079378	0	37	0.405405405405405	0.000591472549421629	1.74751369879019	0.0397540916374097
YDR109C	715	9.15	21.34	0.428772258669166	0.000528164150956857	0	NA	1.29281821222455	0.0605819218474487	NA	NA	NA	0.000536913556701957	1.43706906867756	0.0296762255726937
YDR110W	566	21.59	34.95	0.617739628040057	0.000759841655932058	-0.5	-10.7	3.14710778408156	0.0900460024057671	0	39	0.41025641025641	0.000796895098568189	2.35358781397754	0.0721370228080199
YDR111C	507	15.03	29.61	0.507598784194529	0.000667668827956106	-2.2	NA	2.11807610324221	0.0715324587383386	NA	NA	NA	0.000676959617119054	1.99398383896638	0.05191717446801
YDR113C	373	40.42	26.26	1.53922315308454	0.0018417580480255	-2.7	NA	5.60444387279044	0.213421320365211	NA	NA	NA	0.00183733299154025	1.76838958497997	0.124966174091534
YDR115W	105	111.07	85.78	1.29482396829098	0.00150665733930011	0	NA	12.6722630122163	0.147729808955658	NA	NA	NA	0.00123677580289554	5.77655973341897	0.274781127010511
YDR116C	285	55.06	48.87	1.12666257417639	0.00146302090152466	-0.9	NA	7.77369028083921	0.159068759583368	NA	NA	NA	0.0014861431336908	3.2909824454673	0.188110421708777
YDR117C	565	48.56	53.05	0.915362865221489	0.00124635259580287	-1.4	NA	7.41233762080883	0.139723612079337	NA	NA	NA	0.00136878904008229	3.57247020118765	0.18807530990024
YDR118W	652	10.1	19.85	0.508816120906801	0.000586768176427693	-0.9	NA	1.39260223858874	0.0701562840598862	NA	NA	NA	0.000582091622579838	1.33673013182987	0.0299269004380082
YDR119W	768	82.09	127.01	0.64632706086135	0.000762134107051819	-2.8	NA	11.6579099165379	0.0917873389224302	NA	NA	NA	0.000778719265329281	8.55305259666057	0.256170262861316
YDR120C	570	88.17	119.93	0.735178854331693	0.00102728982900588	-0.2	NA	12.2801132235887	0.102394006700481	NA	NA	NA	0.00102942236795073	8.07627429271319	0.319765284870169
YDR121W	196	70.18	57	1.23122807017544	0.00145435014024727	0	NA	9.02116801164093	0.158266105467385	NA	NA	NA	0.00134504702004454	3.83846939618654	0.198573916264341
YDR122W	1064	27.2	60.78	0.447515630141494	0.000545861199789051	-2.1	NA	4.2611335274536	0.0701074946932149	NA	NA	NA	0.000615258393326355	4.09302052456523	0.0968563550690691
YDR123C	304	13.92	15.7	0.886624203821656	0.00103164714776675	0	NA	1.80812612070826	0.115167268834921	NA	NA	NA	0.000964139217856548	1.05726262316015	0.0392057060985612
YDR125C	453	2.93	7.71	0.380025940337224	0.000519710184627434	-2.3	NA	0.400390321447254	0.0519312997986063	NA	NA	NA	0.000510971009014798	0.519203492010495	0.0102037666229465
YDR126W	336	4.45	8.79	0.506257110352674	0.000559776889561102	-0.8	NA	0.63733271223628	0.0725065656696565	NA	NA	NA	0.000576819914375765	0.591932385832977	0.0131322456966315
YDR127W	1588	141.05	208.42	0.676758468477114	0.00101760891633057	-2.2	-4	24.8193594540153	0.11908338669041	0	77	0.376623376623377	0.00128830135670653	14.0353296763719	0.695451317842053
YDR128W	1148	9.75	40.17	0.242718446601942	0.000289853882296292	-1.3	-10.9	1.58774633533591	0.0395256742677598	0	45	0.377777777777778	0.000339605493722104	2.7051108007862	0.0353334803489998
YDR129C	642	359.96	278.96	1.29036420992257	0.00207940682709576	-0.1	-5.1	50.3406895329333	0.180458451150463	0	47	0.382978723404255	0.00209229763622669	18.7856039080736	1.51173364045974
YDR130C	291	23.62	29.43	0.802582398912674	0.000802635379210827	0	-6.3	3.26536393371116	0.110953582525014	0	1	1	0.000798342187075754	1.98186235666263	0.0608540126269674
YDR131C	556	7.05	13.1	0.538167938931298	0.000694367975781001	-3.1	NA	1.02035964223632	0.0778900490256736	NA	NA	NA	0.000723057642706992	0.882174545439363	0.0245331941262114
YDR132C	495	8.25	13.42	0.614754098360656	0.000761751492680679	0	-1	1.15308057813575	0.0859225468059427	12	1231	0.398862713241267	0.000766016465106789	0.903723847312691	0.0266256671904298
YDR135C	1515	64.19	152.62	0.420587079019788	0.000555801086008576	-3.1	NA	9.86588640462636	0.064643470086662	NA	NA	NA	0.000614620735757965	10.2776701622103	0.242956507575977
YDR137W	663	14.33	32.66	0.438763012859767	0.00050563243473879	-3	NA	2.02278121236916	0.0619345135446772	NA	NA	NA	0.000513519249262588	2.19937562244653	0.0434392968648146
YDR138W	752	18.47	41.89	0.440916686560038	0.000578084939769373	-1.5	-8.7	2.81959106896289	0.0673094072323441	0	14	0.357142857142857	0.00063493602424781	2.82093829835534	0.068889051838697
YDR139C	77	206.4	149.56	1.38004814121423	0.00155100472279003	-0.6	-12.5	22.2825206837869	0.148987166914863	0	6	0.666666666666667	0.0012047219624267	10.0716049630467	0.466672449841081
YDR140W	221	43.77	62.13	0.704490584258812	0.000889477416453191	-0.7	-10.3	5.62278311531127	0.0905002915710812	0	15	0.333333333333333	0.000822107846859504	4.18393164184333	0.132293962826276
YDR141C	1698	27.58	63.5	0.434330708661417	0.000506693406042605	-1	NA	5.30399449088196	0.0835274722973537	NA	NA	NA	0.000701088974157531	4.27618959048852	0.115307283588412
YDR142C	375	11.71	17.59	0.665719158612848	0.000812035018891624	0	NA	1.48857814079113	0.0846263866282622	NA	NA	NA	0.000742691721153387	1.1845381873495	0.0338364117359427
YDR143C	610	30.72	51.15	0.60058651026393	0.000809743469003671	0	NA	4.31006480790579	0.0842632416012862	NA	NA	NA	0.000817389632728714	3.44452122131476	0.108289074462182
YDR144C	596	80.25	123.37	0.650482289049202	0.000832177307371195	0	-10.9	11.7290926758352	0.0950724866323676	0	141	0.354609929078014	0.000875093237437324	8.30792928785147	0.279623566804089
YDR145W	539	62.47	76.43	0.817349208426011	0.00092544129897794	-1.9	-12.5	8.71445097527603	0.114018722691038	0	67	0.388059701492537	0.000928830533907049	5.14691606930767	0.183869723101147
YDR146C	709	46.13	52.41	0.880175539019271	0.00108888096217411	-0.2	NA	6.92010398106733	0.132037855009871	NA	NA	NA	0.00117524565012333	3.52937159744099	0.15953379298313
YDR147W	534	21.86	36.4	0.600549450549451	0.000779527471518641	-4.1	NA	3.07802565758913	0.0845611444392617	NA	NA	NA	0.000789718996605963	2.45123308809105	0.0744532821067155
YDR148C	463	146.23	120.11	1.21746732162185	0.00199063326983206	0	NA	21.834424286209	0.181786897728824	NA	NA	NA	0.00213853127316604	8.08839577501694	0.665280281331453
YDR151C	325	49.46	49.06	1.00815328169588	0.00115408945760342	0	-11.1	6.54599037763679	0.133428258818524	0	92	0.358695652173913	0.0010989547398922	3.30377734345459	0.139642375812995
YDR152W	265	122.66	125.92	0.974110546378653	0.00137786012498186	-0.6	NA	16.530128802248	0.131274847540089	NA	NA	NA	0.00133597241593289	8.47965028715455	0.435714572322917
YDR153C	411	72.17	53.77	1.34219825181328	0.00174141306703399	0	NA	10.1117018009041	0.188054710822096	NA	NA	NA	0.00175544985952688	3.62095613040264	0.244477189633396
YDR155C	162	6172.03	3596.96	1.71590176148748	0.00479193548653186	0	-2.9	814.049668877625	0.226316019326772	0	33	0.393939393939394	0.00454729281036097	242.224927707143	42.364141240496
YDR156W	137	170.44	107.77	1.58151619189014	0.00173392051566929	-2.2	-8.6	20.3100624522497	0.188457478447153	0	51	0.411764705882353	0.00148657902434153	7.25740082152673	0.414949993558484
YDR158W	365	797.39	488.51	1.6322900247692	0.0032749097201424	-2.1	-8.3	109.585609746751	0.224326236406115	0	36	0.416666666666667	0.00323818128069619	32.8970295566857	4.09717481926804
YDR159W	1301	9.01	35.03	0.257208107336569	0.000329593575731817	-4.1	-10.2	1.28889344700653	0.0367939893521703	0	87	0.379310344827586	0.000339226713503791	2.35897513944587	0.030777976299668
YDR160W	852	3.02	17.96	0.16815144766147	0.000204455072374955	-4	-3.5	0.471599601682956	0.0262583297150866	1	179	0.385474860335196	0.000229711881135254	1.20945456764053	0.010685618610782
YDR161W	387	93.85	101.61	0.923629564019289	0.00118843925192982	-5	-8.6	12.6656564118076	0.124649703885519	0	19	0.263157894736842	0.00115395665192462	6.84257676046517	0.303693729578599
YDR162C	236	57.98	27.74	2.0901225666907	0.00267250702693128	0	NA	7.63271699243523	0.275152018472791	NA	NA	NA	0.0025312724170201	1.86805510614412	0.181867552448314
YDR163W	175	51.57	22.78	2.26382791922739	0.00266394956043074	-1.8	-9.1	6.43073931816681	0.282297599568341	1	74	0.378378378378378	0.00239006027356519	1.53404092710753	0.141017318380878
YDR164C	724	24.88	42.69	0.582806277816819	0.000816369360166661	-3.3	NA	3.50075646904908	0.0820041337327027	NA	NA	NA	0.000826451367465359	2.87481155303866	0.0913804592005388
YDR165W	444	93.82	117.61	0.797721282203894	0.00122328941797074	-3.6	-10.9	12.8186810008919	0.108993121340803	0	38	0.394736842105263	0.00120253081058804	7.92004185413156	0.366311321182308
YDR166C	971	20.81	37.15	0.560161507402423	0.000746591793765644	-4.9	NA	3.13602644270351	0.0844152474482776	NA	NA	NA	0.000809487095660723	2.50173926435667	0.0778894481232489
YDR167W	206	110.93	64.51	1.71957835994419	0.00188291859216327	-0.1	-6.3	14.4252950056797	0.223613315853041	0	30	0.4	0.00176167712986808	4.34420457452621	0.294349455631197
YDR168W	506	194.5	153.38	1.26809231972878	0.00194102755205592	-0.4	-6.9	26.7985132104789	0.174719736670223	0	41	0.390243902439024	0.00192416307592387	10.3288497541595	0.76439966591227
YDR169C	513	24.88	29.93	0.831272970263949	0.000942711231344589	0	NA	3.52166630504099	0.11766342482596	NA	NA	NA	0.00096005384082452	2.0155331408397	0.0744238589681641
YDR171W	375	61.77	47.77	1.29307096504082	0.00173919230865463	0	-5.7	9.1307273360338	0.191139362278288	0	70	0.385714285714286	0.00184967088645475	3.21690672027774	0.228854565574552
YDR172W	685	434.96	357.44	1.21687555953447	0.00214103888393999	-1.3	-8.7	66.1570137063501	0.185085647119377	0	45	0.377777777777778	0.00234298878594818	24.0705701925073	2.16911830893935
YDR173C	355	19.67	28.42	0.692118226600985	0.000795845675400633	-0.9	NA	2.63280568875805	0.0926391867965535	NA	NA	NA	0.000766412166792658	1.91384737262494	0.0564152273755352
YDR174W	246	248.76	282.69	0.87997453040433	0.00151283891858728	0	-8.7	32.2843165074029	0.114203956657126	0	24	0.333333333333333	0.00141261176439121	19.0367879580346	1.03429194714387
YDR175C	319	52.99	43.04	1.23118029739777	0.00154725009797964	-0.4	-7.7	7.01566699279423	0.163003415260089	0	48	0.395833333333333	0.00147385462294502	2.89838110196261	0.164299707160926
YDR176W	702	19.92	47.81	0.416649236561389	0.00054025912580825	-1.2	NA	2.77261979458464	0.0579924658980263	NA	NA	NA	0.000541031036118239	3.2196003830119	0.0669962973502926
YDR177W	215	267.6	153.37	1.74480015648432	0.00238128033192548	0	-6.9	36.2237686802514	0.236185490514778	0	90	0.366666666666667	0.00231919427247379	10.328176338476	0.921271054203569
YDR178W	181	96.79	54.11	1.78876362964332	0.0024433766730554	-0.9	-6.5	12.5041456520751	0.231087518981243	0	103	0.339805825242718	0.00227108317262187	3.64385226364305	0.31828813690307
YDR179C	162	22.92	32.51	0.705013841894802	0.000870612113730599	0	NA	2.91013331760166	0.0895150205352709	NA	NA	NA	0.000795320285241206	2.18927438719341	0.0669682434651512
YDR179WA	463	6.52	21.58	0.302131603336423	0.000373494917798616	-5.6	NA	0.95653284159727	0.0443249694901423	NA	NA	NA	0.000394235808481321	1.45323104508255	0.0220352198449337
YDR180W	1493	10.06	28.98	0.347135955831608	0.000434699583684519	-2.7	-9.4	1.35373712368883	0.0467128062004426	0	144	0.361111111111111	0.000420866796689168	1.95155865090326	0.0315902399214112
YDR181C	481	13.51	24.25	0.557113402061856	0.000712777565785162	-0.8	-4.4	1.8622745124425	0.0767948252553607	1	60	0.4	0.000706905652984425	1.63303303258813	0.0444000108556481
YDR182W	491	60.07	75.58	0.79478698068272	0.000961355292753086	-1.7	-12.3	8.74989419353281	0.11576996816	0	51	0.411764705882353	0.0010075072343604	5.08967573620665	0.197226350952953
YDR183W	230	34.79	29.74	1.16980497646268	0.00143976414083209	-1.6	NA	4.69346901005167	0.157816711837649	NA	NA	NA	0.00139749402821301	2.00273824285242	0.107646720556157
YDR184C	294	32.95	46.03	0.71583749728438	0.000931124369773047	0	-5.4	4.46640338126548	0.0970324436512163	0	10	0.5	0.000908090850898136	3.09973239134152	0.108263024031147
YDR185C	179	7.71	7.42	1.03908355795148	0.00126674045076568	0	NA	1.07092803525878	0.144329923889324	NA	NA	NA	0.00126593856732529	0.499674437187792	0.0243291208131764
YDR186C	877	24.14	61.67	0.391438300632398	0.000471635707572271	-4.3	NA	3.51771054983714	0.0570408715718686	NA	NA	NA	0.000494479846459243	4.15295452040042	0.0789827812923008
YDR188W	546	332.44	331.26	1.00356215661414	0.00126305402596952	0	-9.9	46.4646324816996	0.140266354168024	0	55	0.4	0.00127013604905045	22.3075679329957	1.08975562301307
YDR189W	666	71.64	84.24	0.850427350427351	0.00125327111691811	0	-9	9.43120602704322	0.111956386835746	0	43	0.372093023255814	0.00118706846559839	5.67285371815358	0.259002529183564
YDR190C	463	217.13	181.13	1.19875227736984	0.00181154956055662	-1.7	NA	31.8323554948639	0.175743143018075	NA	NA	NA	0.00191081325829761	12.1975782759872	0.896434395726122
YDR191W	370	11.35	12.37	0.917542441390461	0.00120061184078456	-2	-4.4	1.56392482912534	0.126428846331879	0	16	0.3125	0.00119025966700552	0.833015200540834	0.0381347844310104
YDR192C	430	33.16	27.81	1.19237684286228	0.00148297224821892	-1.3	-8.5	4.29050441038877	0.154279194907903	0	46	0.391304347826087	0.00138053028042791	1.87276901592891	0.0994390128745014
YDR194C	664	73.67	160.54	0.458888750467173	0.000700308464384977	-0.8	NA	9.742514948008	0.0606859035007351	NA	NA	NA	0.000666329235587984	10.8110153835752	0.277065216017985
YDR195W	533	25.69	27.89	0.921118680530656	0.00127705049567391	0	NA	3.48068892982842	0.124800607021457	NA	NA	NA	0.00124488220750379	1.87815634139724	0.0899262850890703
YDR196C	241	47.18	52.69	0.89542607705447	0.00110631418675597	-1.2	-14.6	6.35160034642319	0.1205465998562	0	1	1	0.00107157553781118	3.54822723658016	0.146238211896718
YDR197W	389	11.31	23.15	0.488552915766739	0.000591710827256173	-3.6	-10.1	1.56032646150616	0.0674007110801795	0	34	0.382352941176471	0.000587329029704883	1.55895730739857	0.0352161877963745
YDR198C	479	13.16	21.17	0.621634388285309	0.000769270102863961	0	NA	1.82447931786273	0.0861823012689058	NA	NA	NA	0.000767327903974737	1.42562100205735	0.042073799052732
YDR200C	604	11.86	27.87	0.425547183351274	0.000543174781260398	-1.3	-9.6	1.58522894870642	0.0568794025370083	0	66	0.393939393939394	0.000522355276275227	1.87680951003016	0.0377062057741452
YDR201W	165	45.67	43.25	1.05595375722543	0.00135774527076334	0	-16.9	6.17249580891544	0.142716666102091	0	1	1	0.00132028343062654	2.91252283131698	0.147898293673435
YDR202C	351	20.53	37.72	0.544273594909862	0.000638328938260805	-4.9	NA	2.8623921569972	0.0758852639712937	NA	NA	NA	0.000640329926262712	2.54012395831853	0.0625583610357021
YDR204W	335	41.39	58.91	0.702597182142251	0.000879032859742705	0	NA	5.80204312888739	0.0984899529602341	NA	NA	NA	0.000886563237029004	3.96709179174297	0.135272220787648
YDR205W	724	16.67	29.16	0.571673525377229	0.000708076144138753	-1.3	-11.5	2.27782943875105	0.0781148641546999	0	11	0.454545454545455	0.00069612085759842	1.96368013320701	0.0525753345529632
YDR206W	884	16.31	60.74	0.268521567336187	0.000316308595118495	-3.8	NA	2.4353863978088	0.040095265028133	NA	NA	NA	0.000339816130614899	4.09032686183106	0.0534599633514467
YDR207C	836	17.65	27.85	0.633752244165171	0.000823446699969179	-2.5	-8.3	2.71707399393093	0.0975610051680764	1	90	0.366666666666667	0.000912034635629639	1.87546267866307	0.0657879584912101
YDR208W	779	33.85	68.99	0.49065081895927	0.000620634808609151	0	-3	5.28530363318788	0.0766097062355106	0	125	0.352	0.000697214612431657	4.6458948007528	0.124584067034812
YDR210W	75	497.42	253.95	1.95873203386493	0.00269311723018255	-0.2	-4.1	46.9865264074793	0.185022746239336	0	17	0.294117647058824	0.00183030909323743	17.1013912835364	1.20387815281799
YDR211W	712	95.33	154.35	0.617622287010042	0.000915636291616882	-0.8	NA	13.6999229212542	0.0887588138727194	NA	NA	NA	0.000946739747231356	10.394171075463	0.378483649871667
YDR212W	559	313.77	341.07	0.919957779927874	0.0014293863436366	0	NA	44.6320018188343	0.13085877332757	NA	NA	NA	0.00146286301190911	22.9681887185499	1.29228129718903
YDR213W	913	16.9	31.59	0.534979423868313	0.000624583068514978	-0.1	NA	2.45980338649397	0.0778665206234241	NA	NA	NA	0.000654068116875743	2.12732014430759	0.0535158569530424
YDR214W	350	271.69	218.66	1.2425226378853	0.00164652180945207	0	NA	38.8209881334916	0.177540419525709	NA	NA	NA	0.00169269807975066	14.7249073363184	0.95864701433433
YDR216W	1323	6.53	17.63	0.370391378332388	0.000487785753264722	0	NA	0.968762508081109	0.0549496601293879	NA	NA	NA	0.000520657747876778	1.18723185008366	0.02377467158739
YDR217C	1309	16.16	35.91	0.450013923698134	0.000557547043652531	-0.8	NA	2.82872382380229	0.0787725932554245	NA	NA	NA	0.000702182159687783	2.41823571959752	0.0653093069315818
YDR219C	465	24.27	34.61	0.701242415486854	0.000894857422099129	-2.6	NA	3.37625960715359	0.097551563338734	NA	NA	NA	0.000895651346868703	2.33069168073713	0.0802879670379957
YDR221W	702	35.57	59.03	0.602574961883788	0.000774822107273891	-3.8	NA	4.83852211640894	0.0819671712080119	NA	NA	NA	0.000758315531263109	3.97517277994547	0.115939817634115
YDR222W	415	25.23	28.7	0.879094076655052	0.00119934739071692	-0.3	NA	3.51188813785159	0.122365440343261	NA	NA	NA	0.00120112304729349	1.9327030117641	0.0892851588847463
YDR224C	131	2117.32	906.16	2.33658515052529	0.00667368427594487	0	-1.3	269.498688405548	0.29740739869951	0	35	0.4	0.0061115996173519	61.0222355797964	14.3439796776708
YDR226W	222	1963.77	1347.21	1.45765693544436	0.00363759185712219	0	-6.4	272.488944898397	0.202261670339737	0	24	0.333333333333333	0.00363154405692679	90.7232343023942	12.6717470136937
YDR227W	1358	10.59	27.04	0.39164201183432	0.000486733844580209	-0.7	NA	1.65060518331004	0.0610430910987442	NA	NA	NA	0.000545830591172483	1.82091600829621	0.0382273715878369
YDR228C	626	21.99	37.19	0.591287980639957	0.000741915383602562	0	-8.5	3.22226833859631	0.086643407867607	0	70	0.385714285714286	0.000782185810176301	2.50443292709083	0.0753435345426442
YDR229W	453	29.43	32.81	0.89698262724779	0.00100280190085132	0	NA	4.18419593231721	0.127528068647279	NA	NA	NA	0.00102578414343847	2.20947685769966	0.0871710125354832
YDR231C	205	40.36	45.13	0.894305340128518	0.00102974342529667	-0.5	-11.9	5.45739021561333	0.120925996357486	0	26	0.384615384615385	0.00100180215188668	3.03912497982278	0.117100074793809
YDR232W	548	127.11	173.24	0.733722004156084	0.00112068499381217	0	NA	18.4212992075691	0.106333982957568	NA	NA	NA	0.00116853890625284	11.6662533016729	0.524325802815596
YDR233C	295	559.86	467.46	1.19766397124888	0.00242986827240107	-0.3	-3.2	75.6346279105681	0.161799144120498	0	13	0.384615384615385	0.0023617996142871	31.4794895428309	2.85954793308511
YDR234W	693	63.18	91.54	0.690190080838977	0.000980327251501603	-3.1	NA	9.01616017243139	0.0984942120650141	NA	NA	NA	0.0010065425863139	6.16444716713888	0.238645330569513
YDR235W	544	15.03	36.64	0.410207423580786	0.000510285698180154	-1	-6.9	2.04010865059455	0.0556798212498514	0	1	1	0.00049834120201919	2.46739506449605	0.0472924854729684
YDR236C	218	26.6	37.7	0.705570291777188	0.000919506954498061	-3.8	-10.4	3.61436506714569	0.0958717524441828	0	26	0.384615384615385	0.000898927113623723	2.53877712695145	0.0877759844178613
YDR237W	292	49.06	56.8	0.863732394366197	0.00115631023699571	-0.4	-11.9	6.6007365485029	0.116210150501812	0	143	0.356643356643357	0.0011193304236126	3.82500108251571	0.164670772385037
YDR238C	973	195.79	252.55	0.775252425262324	0.00112485581888719	-0.8	-4.7	29.0287691287856	0.114942661369177	0	34	0.382352941176471	0.00119992487448566	17.0071130878405	0.784894539895785
YDR239C	787	17.27	29.89	0.577785212445634	0.000689506923994024	-0.1	-8.6	2.5694945172544	0.0859650223236669	0	10	0.5	0.00073809637361831	2.01283947810554	0.0571411353640566
YDR240C	492	19.88	27.21	0.730613744946711	0.000860384750865185	-4.4	-6	2.91112187379973	0.106987205946333	0	21	0.333333333333333	0.000906474922862659	1.83236407491642	0.0638843109025449
YDR243C	588	16.61	26.28	0.632039573820396	0.000878774569712355	0	-13	2.252758111597	0.0857213893301752	0	30	0.4	0.000857514539620072	1.76973641634706	0.0583682580120278
YDR244W	612	26.87	36.11	0.744115203544724	0.000923349296091211	0	-7.7	3.78146486965374	0.104720710873823	0	26	0.384615384615385	0.000934926582697223	2.43170403326835	0.0874409516136398
YDR245W	393	100.75	147.27	0.684117607116181	0.000903710055987551	-1.6	NA	14.294570447363	0.0970636955752225	NA	NA	NA	0.000922516731291604	9.91739277151565	0.351883106250523
YDR246W	219	41.21	29.89	1.37872198059552	0.00162844164825157	-0.3	-6.1	5.97560857651949	0.199919992523235	0	36	0.416666666666667	0.00169891171340259	2.01283947810554	0.131524483328949
YDR247W	461	11.37	19.32	0.588509316770186	0.000806007985133341	0	-4.5	1.63023706495217	0.0843808004633631	1	279	0.376344086021505	0.000831474098288254	1.30103910060218	0.0416069351158059
YDR248C	193	47.57	64.01	0.743165130448367	0.00106695655851141	-5.4	-12.8	6.38810111086463	0.0997984863437687	2	59	0.406779661016949	0.001030871301815	4.31053379034913	0.170907906922107
YDR249C	373	5.89	15.7	0.37515923566879	0.000418486563014815	-1.8	NA	0.829357165031769	0.0528252971357814	NA	NA	NA	0.000423961974706954	1.05726262316015	0.0172399672884166
YDR251W	830	33	71.98	0.458460683523201	0.000549483009170907	-3.7	NA	4.44594802702309	0.0617664354962919	NA	NA	NA	0.000532627752659873	4.84724609013171	0.099299145829854
YDR252W	149	28.05	18.17	1.54375343973583	0.00192894311139374	0	-7.1	3.31118906346885	0.182233850493608	0	9	0.555555555555556	0.0016382856041239	1.2235962969949	0.077100007639464
YDR253C	191	6.55	8.25	0.793939393939394	0.00100120284047001	-3.5	NA	0.785568006139352	0.0952203643805275	NA	NA	NA	0.000863940120743705	0.555567938921736	0.0184606704705145
YDR254W	458	9.75	20.42	0.477473065621939	0.000585761072229309	-1.2	NA	1.3331749218852	0.0652877043038786	NA	NA	NA	0.000576264821478367	1.37511482579174	0.0304780884460436
YDR255C	421	9.53	25.48	0.374018838304553	0.000475978884311522	-0.1	NA	1.32330912336277	0.0519352089231856	NA	NA	NA	0.000475526993460816	1.71586316166374	0.0313822788636972
YDR257C	494	31.42	51.91	0.605278366403391	0.00080773716403955	-0.1	-5.8	4.34250493510556	0.0836544969197758	0	5	0.6	0.000803199237197629	3.49570081326392	0.107990162564797
YDR258C	811	78.12	88.17	0.886015651582171	0.00137142598518325	-1.2	-6.3	10.7307133697156	0.121704813085127	1	74	0.378378378378378	0.00135536983573343	5.93750608178539	0.309519870874451
YDR259C	383	2.88	9.89	0.291203235591507	0.000366012737112488	-1.1	NA	0.429479174706754	0.0434255990603391	NA	NA	NA	0.000392703618660323	0.666008111022542	0.010059376740603
YDR260C	170	41.62	32.71	1.27239376337511	0.00155104058688322	-1.7	NA	5.41503781637128	0.165546860787872	NA	NA	NA	0.00145191657285517	2.20274270086424	0.123007639735406
